100% whey gold standard;24.00;1.00;3.00;0.00;120.00
4 злака козинак с арахисом и изюмом;10.30;15.30;58.20;0.00;412.00
4 злака ясно солнышко;11.00;2.60;60.00;0.00;310.00
4 сезона овощи для жарки с шампиньонами;4.90;1.20;2.10;0.00;39.00
7up;0.00;0.00;10.70;100.00;43.00
Actimel;2.65;1.50;11.50;0.00;73.00
Actimel земляника-шиповник;2.70;1.50;11.50;0.00;73.00
Actimel личи;2.65;1.50;11.50;0.00;73.00
Activia напиток со сливой;2.90;1.50;12.50;0.00;75.00
Adrenaline nature энергетик;0.00;0.00;12.40;100.00;50.00
Adrenalin rush;0.50;0.00;13.00;0.00;52.00
Alpen gold с фундуком;0.40;30.30;57.90;0.00;532.00
Alpen gold фундук и изюм;5.70;25.30;59.60;0.00;493.00
Alpen gold фундук и мюсли;6.00;26.50;61.10;0.00;510.00
Alpen gold черно-белый;4.80;31.20;58.90;0.00;540.00
"Amore ""шампанское-клубника""";0.00;0.00;9.00;100.00;70.00
Amour крем-брюле;6.30;29.00;51.30;0.00;482.00
Analisa горошек консервированный;5.50;0.40;9.50;0.00;64.00
Baunty;3.90;24.60;57.90;0.00;471.00
Biersteaks;18.00;15.00;2.00;0.00;215.00
Big bon;8.20;19.30;49.90;0.00;406.00
Big bon (курица);8.20;19.30;49.90;0.00;406.00
Biobalance питьевой;3.40;2.80;16.60;0.00;105.00
Biomatrix лёгкий 1% гранат благовещенск;2.80;1.00;8.90;100.00;56.00
Biomax кефирный 1%;3.00;1.00;5.60;0.00;43.40
Bio max кефирный 1 % лёгкий;3.00;1.00;5.60;0.00;43.40
"Bio max творожный десерт ""клубника мюсли""";5.50;2.80;16.40;0.00;113.00
Bio max творожный эффективный;6.00;3.10;3.50;0.00;66.00
Bio баланс биопродукт йогуртный /нежирный;3.00;0.05;3.70;0.00;26.80
Bio баланс (злаки);3.10;1.50;12.60;0.00;76.00
Bio баланс кефирный 0%;3.00;0.05;4.00;0.00;29.00
Bio Баланс Кефирный 1%;3.00;1.00;4.00;90.00;40.00
Bio.баланс кефирный обогощенный (0%);3.00;0.10;4.00;0.00;29.00
Bio баланс творожно-йогуртный клубника-мюсли с орешками;8.00;4.00;13.00;0.00;120.00
Bio баланс творожно-йогуртный с орешками;8.00;4.00;13.00;0.00;120.00
Bio баланс (творожный) ананас;4.80;3.80;14.40;0.00;111.00
Bio баланс (черника);3.10;1.50;13.10;0.00;78.00
Biskonti;5.50;23.90;50.30;0.00;434.00
Bon aqua viva;0.00;0.00;4.60;0.00;19.00
Bounty;3.53;25.93;58.20;0.00;484.94
Burn;0.00;0.00;11.70;90.00;49.00
Calve соус для пельменей;1.40;25.00;7.80;0.00;262.00
Campina fruttis;2.60;1.20;17.00;0.00;89.00
Cappuccino chocolate flavor;9.90;8.30;71.00;0.00;408.00
Cheetos кукурузные палочки со вкусом сыра;7.00;22.00;72.00;0.00;513.00
Choco boy;7.00;27.00;57.00;0.00;500.00
Chocodessert типа тирамису (италия);4.90;20.30;51.60;0.00;408.00
Chocolife;3.70;8.00;66.60;0.00;353.00
Choco pie;4.00;18.10;64.95;0.00;438.00
Choco Pie;3.60;16.10;70.90;0.00;430.00
Chupa Chups mini relax citrus;0.00;0.00;97.80;0.00;396.00
Chupa chups релакс;0.00;0.00;97.80;0.00;396.00
Cielavina;7.40;27.40;47.10;0.00;461.00
Clue;5.90;24.30;57.40;0.00;472.10
Coca cola;0.00;0.00;10.60;0.00;42.00
Coca-Cola;0.00;0.00;10.40;100.00;42.00
Coco cabana;5.10;29.50;51.40;0.00;498.00
"Coffee drink 2 in 1 ""monte santos""";10.90;32.00;47.10;0.00;535.00
Coffee manhattan classic 100% arabica;15.00;3.60;0.00;0.00;92.40
Coffee mate (сухой);2.20;34.60;55.80;0.00;543.00
Cola mix;0.10;0.10;10.10;0.00;41.00
Complete protein diet bar;20.00;3.00;18.00;0.00;180.00
Corny big - chocolate banana;6.10;15.20;65.60;0.00;424.00
Corny chocolate-banana with milk-chocolate and banana;6.10;16.20;64.60;0.00;429.00
Corny cocos;5.50;22.90;57.20;0.00;468.00
Corny dunkle schoko mit arriba-kakao;6.00;17.60;62.40;0.00;442.00
Corny nuts with hazelnuts;6.40;15.50;63.10;0.00;418.00
"Cote d""or";5.90;35.80;52.30;0.00;557.00
Cottage cheese;16.00;2.00;1.00;0.00;90.00
Creme bonjour;3.50;30.00;4.50;0.00;300.00
Creme fraiche;2.50;30.00;2.90;0.00;293.00
Cruesli quaker 4 noten;8.00;21.00;61.00;0.00;480.00
Cалат с крабовой вермишелью с ананасами с майонезом;5.50;28.00;10.00;0.00;314.00
Cоевый соус heinz;2.60;0.10;43.00;0.00;184.00
Cосиски мини;12.00;26.00;0.00;0.00;282.00
Cудак запеченый;19.00;0.80;0.00;0.00;83.00
Cуп-пюре грибной;3.40;6.75;2.68;0.00;82.46
Cухарики;9.50;3.80;71.30;0.00;351.00
Cыр моцарелла;18.00;19.00;0.00;0.00;250.00
